id,name,gender,member_since,year_of_birth,place_of_birth,genres
1159,Beth Hoffman,female,May 25 2015,1963,Portugal,literature-fiction
1160,Thea Harrison,male,September 13 2008,1956,Turkey,romance$science-fiction-fantasy
1161,Ken Kesey,male,March 3 2014,1998,Uruguay,literature-fiction
1162,Connie Suttle,female,October 17 2014,1984,Israel,science-fiction-fantasy
1163,Katie Hayoz,female,April 18 2018,1956,Uruguay,fiction
1164,Arthur Conan Doyle,male,December 13 2015,1955,Sweden,fiction$crime
1165,Megan Shepherd,female,October 18 2011,1974,Gambia,young-adult
1166,Nawal El-Saadawi,female,July 25 2010,1978,Croatia,nonfiction$women-gender-studies
1167,Mary  Elizabeth,female,October 28 2010,1973,Burkina,romance
1168,Cindy L.  Rodriguez,male,December 11 2013,1990,Laos,contemporary
1169,Harlan Coben,male,February 18 2008,1958,Ireland,mystery
1170,Ella Dominguez,female,December 8 2014,1993,Angola,erotic-romance
1171,Annie Seaton,female,May 6 2010,1966,Chile,contemporary
1172,Kathleen Peacock,female,July 4 2016,1959,America,young-adult$science-fiction-fantasy$mystery-thrillers
1173,Owen Wister,male,December 18 2008,1955,England,mystery-thrillers
1174,Henning Mankell,male,April 24 2009,1952,Syria,mystery-thrillers$literature-fiction
1175,Robert K. Massie,male,May 5 2019,1979,Cyprus,history
1176,Ais,male,March 3 2019,1960,Comoros,gay-lesbian
1177,Laramie Briscoe,female,July 10 2007,1962,Paraguay,romance$suspense
1178,Sue Townsend,female,May 16 2017,1974,Belgium,literature-fiction
1179,Lisa McMann,female,April 13 2018,1952,Israel,young-adult
1180,Adam Carolla,male,September 4 2013,1952,Wales,humor
1181,Carol Pavliska,female,October 25 2015,1972,Tonga,romance
1182,Laurann Dohner,male,August 6 2010,1977,Bosnia,romance
1183,Beth K. Vogt,female,December 20 2010,1983,Samoa,fiction
1184,Ted Chiang,male,November 5 2019,1973,Comoros,science-fiction-fantasy$fiction$speculative
1185,John Grogan,male,March 1 2016,1958,Greece,biographies-memoirs
1186,Mary Ann Shaffer,female,August 2 2010,1990,St Lucia,literature-fiction
1187,Gemma Malley,male,May 23 2007,1976,Armenia,young-adult
1188,Cynthia B. Ainsworthe,female,December 4 2018,1977,Peru,romance
1189,Christiane F.,female,March 18 2014,1973,Algeria,biographies-memoirs
1190,Dale Carnegie,male,November 8 2008,1975,Australia,nonfiction$biographies-memoirs
1191,Arthur C. Clarke,male,September 17 2014,1992,South Africa,science-fiction-fantasy$science
1192,J.D. Tyler,female,December 23 2008,1985,Brunei,paranormal-romance
1193,Todd Strasser,male,June 8 2015,1962,Singapore,young-adult
1194,Mia James,male,May 7 2015,1986,Scotland,science-fiction-fantasy$young-adult
1195,John McCain,male,February 14 2011,1969,Malaysia,biographies-memoirs$nonfiction
1196,C.E. Morgan,female,May 7 2012,1979,Nauru,literature-fiction
1197,Trudi Canavan,female,August 17 2014,1973,Guyana,science-fiction-fantasy
1198,Colum McCann,male,August 1 2016,1980,East Timor,literature-fiction$biographies-memoirs
1199,Karen Healey,male,April 17 2014,1972,Kyrgyzstan,young-adult
1200,Idir Aitsahalia,male,January 8 2015,1985,Saudi Arabia,contemporary$fiction
1201,L.H. Nicole,female,March 21 2009,1965,Andorra,young-adult
1202,Chris  Watson,male,March 22 2019,1972,Greece,business$non-fiction
1203,Stephen Brusatte,male,April 3 2011,1997,Latvia,science
1204,C.S. Pacat,male,May 11 2019,1967,Estonia,science-fiction-fantasy
1205,K.A. Mitchell,female,September 18 2010,1978,Colombia,gay-lesbian
1206,Simone St. James,female,February 15 2017,1985,South Africa,mystery-thrillers
1207,Donna K. Childree,female,January 16 2012,1984,Guyana,fiction
1208,Clare Vanderpool,female,November 3 2010,1951,Ireland,children-s-books
1209,Rick Riordan,male,May 28 2011,1983,Cuba,children-s
1210,Ed McBain,male,April 16 2008,1978,Australia,literature-fiction$crime
1211,Sarah Jio,female,July 24 2015,1966,Palau,literature-fiction
1212,John  Cassian,male,May 11 2019,1970,Myanmar,horror$thriller$crime
1213,Macy Beckett,male,November 4 2017,1976,Mauritania,romance
1214,Stephanie  Diaz,female,November 14 2015,1961,Vatican,young-adult
1215,Michael Crummey,male,December 23 2011,1980,Wales,literature-fiction$poetry
1216,P.J.  Adams,female,May 27 2008,1958,East Timor,romance$suspense
1217,Francisco X. Stork,male,September 10 2013,1985,Canada,literature-fiction$young-adult
1218,John Varley,male,September 11 2010,1976,Belgium,science-fiction-fantasy
1219,Miley Cyrus,female,April 11 2011,1961,Andorra,entertainment
1220,Cordelia Kingsbridge,male,April 11 2009,1977,Sierra Leone,gay-and-lesbian
1221,Petra F. Bagnardi,female,August 22 2017,1986,Lebanon,fiction$contemporary
1222,David Sedaris,male,September 23 2019,1984,Thailand,memoir$humor-and-comedy
1223,Eckhart Tolle,male,June 26 2010,1959,Ukraine,spirituality$self-help
1224,Mark  Lawrence,male,May 26 2017,1960,Paraguay,fantasy
1225,Kate Wilhelm,female,October 5 2016,1985,Fiji,science-fiction-fantasy$mystery-thrillers
1226,Lawrence Ferlinghetti,male,July 5 2010,1984,Bolivia,poetry
1227,Jennifer Latham,male,May 4 2007,1994,Palau,young-adult
1228,Ellen Schreiber,male,March 7 2009,1956,Haiti,young-adult
1229,John  White,male,March 25 2008,1976,Wales,religion-spirituality$science-fiction-fantasy
1230,Oliver La Farge,male,October 21 2014,1961,Belgium,literature-fiction$nonfiction
1231,Meljean Brook,female,November 21 2014,1998,Croatia,romance
1232,Lisa Tawn Bergren,male,December 9 2018,1962,South Sudan,historical-fiction
1233,Joyce Carol Oates,female,January 18 2019,1972,Malawi,literature-fiction
1234,Jane Porter,male,June 6 2017,1984,Canada,romance
1235,David Brin,male,March 1 2019,1970,Mauritius,science-fiction-fantasy
1236,Isaac Asimov,male,September 1 2014,1998,Kazakhstan,science-fiction-fantasy$mystery-thrillers
1237,Laura Joffe Numeroff,male,May 4 2013,1993,Tunisia,children-s-books
1238,Gerri Chanel,female,August 4 2013,1953,Bulgaria,non-fiction
1239,Robert Graves,male,July 8 2011,1957,Solomon,literature-fiction$poetry$biographies-memoirs
1240,Harry Turtledove,male,July 19 2012,1956,Haiti,science-fiction-fantasy
1241,Catherine Jinks,female,October 27 2012,1967,Laos,literature-fiction$children-s-books
1242,Michael Cox,male,August 10 2014,1983,Singapore,literature-fiction$biographies-memoirs
1243,Flann O'Brien,male,December 9 2009,1962,France,fiction$science-fiction-fantasy
1244,Jacqueline Sheehan,male,April 25 2016,1962,Zimbabwe,literature-fiction
1245,Diane Mannino,male,May 10 2013,1971,Liechtenstein,young-adult$romance
1246,Lauren Strasnick,male,August 14 2018,1995,Cambodia,young-adult
1247,Helena Hunting,female,April 28 2007,1977,Albania,romance
1248,Jenni James,male,January 23 2013,1973,Myanmar,young-adult
1249,William Hertling,male,December 2 2019,1988,Brazil,science-fiction-fantasy
1250,Anne Morrow Lindbergh,female,November 13 2019,1984,Qatar,biographies-memoirs$nonfiction
1251,Kathy Reichs,female,November 24 2019,1960,Scottish,mystery-thrillers
1252,Chris Bachelder,male,March 20 2007,1958,Mauritius,literature-fiction
1253,Christina Baker Kline,male,January 24 2019,1967,Latvia,fiction
1254,Daisy Whitney,female,February 1 2007,1958,Benin,young-adult
1255,Candace Calvert,male,February 19 2007,1965,Lebanon,christian
1256,Pittacus Lore,male,August 10 2007,1951,Monaco,young-adult$science-fiction-fantasy
1257,Christina  Farley,female,August 25 2018,1952,Guatemala,young-adult
1258,Gary Chapman,male,February 7 2019,1960,Liechtenstein,christian
1259,Chuck Palahniuk,male,April 27 2018,1987,United Kingdom,literature-fiction
1260,Ciji Ware,female,December 8 2018,1984,Jamaica,historical-fiction
1261,Mary Crow Dog,female,June 13 2014,1989,Welsh,memoir
1262,Paul Aertker,male,December 21 2018,1978,Wales,children-s
1263,Jen McLaughlin,female,January 17 2007,1963,Taiwan,romance$young-adult
1264,Lily Foster,female,May 8 2013,1954,Canada,new-adult-romance
1265,Chris O'Mara,male,September 10 2010,1968,Tunisia,fantasy
1266,Amanda Sun,male,December 14 2008,1971,Scotland,young-adult
1267,Sofia Grey,female,May 18 2008,1978,United States,romance
1268,Robert    Carter,male,December 18 2009,1969,Kiribati,fiction
1269,Stephen B. Oates,male,February 15 2012,1974,Chad,biographies-memoirs$history
1270,Alan Garner,male,August 22 2014,1951,Paraguay,science-fiction-fantasy$children-s-books
1271,Connilyn Cossette,female,September 20 2007,1987,Turkey,historical-fiction
1272,Robin Alexander,female,September 2 2011,1961,Peru,lesbian-fiction$lesbian-romance
1273,Bret Easton Ellis,male,September 2 2018,1956,Comoros,satire
1274,R.A. Salvatore,male,July 26 2007,1964,South Sudan,science-fiction-fantasy
1275,Barbara Kyle,male,May 4 2015,1952,Italy,historical-fiction
1276,Mira W.,male,March 19 2011,1950,Zambia,literature-fiction
1277,Lauren Conrad,female,May 5 2010,1985,Russia,young-adult
1278,Clarissa Goenawan,female,May 20 2017,1962,Sweden,fiction$mystery
1279,Leslie Feinberg,male,August 16 2017,1974,Belgium,fiction$gay-and-lesbian
1280,Anne Sexton,female,December 13 2018,1968,Saudi Arabia,poetry
1281,Robert N. Charrette,male,August 22 2017,1961,Mexico,science-fiction-fantasy
1282,Will Jordan,male,May 20 2009,1998,Burma,thriller
1283,Rize Shinba,male,December 7 2019,1989,Guinea,manga
1284,Meg Leder,female,June 10 2018,1956,Mali,contemporary$romance
1285,Charlotte Perkins Gilman,female,September 7 2016,1995,Ecuador,fiction$sociology$poetry
1286,J.C. Owens,male,October 23 2016,1982,Comoros,gay-lesbian$romance
1287,Geoff  Laughton,male,August 23 2008,1985,Macedonia,gay-and-lesbian
1288,Melissa Mayhue,female,March 8 2017,1989,France,romance
1289,James Agee,male,July 7 2019,1975,Lesotho,entertainment$literature-fiction$poetry
1290,Karen Kincy,female,April 20 2008,1992,Emirate,science-fiction-fantasy$romance
1291,J.P. Bowie,male,February 14 2012,1972,Burma,gay-lesbian$romance
1292,Keary Taylor,female,November 18 2019,1998,Turkey,science-fiction-fantasy
1293,Leisa Rayven,male,November 25 2015,1982,Mauritius,romance
1294,Georgina Guthrie,female,February 28 2013,1960,Congo,fiction-and-literature
1295,Jim Grimsley,male,October 20 2015,1970,Bangladesh,science-fiction-fantasy
1296,Perry Moore,male,June 26 2018,1986,Madagascar,gay-lesbian$young-adult
1297,Trinity Faegen,female,October 22 2016,1999,Korea,young-adult
1298,Nancy Springer,female,January 5 2019,1977,Costa Rica,science-fiction-fantasy
1299,Kim Culbertson,male,February 2 2017,1971,Sudan,young-adult
1300,Jaye McKenna,female,January 19 2010,1978,Denmark,gay-and-lesbian
1301,Luigi Pirandello,male,September 9 2007,1971,Lebanon,literature-fiction$theatre
1302,C. Vann Woodward,male,May 5 2019,1994,Azerbaijan,history$biography
1303,Zora Neale Hurston,female,August 5 2015,1993,Pakistan,fiction$poetry
1304,Rodman Philbrick,male,March 24 2018,1992,Latvia,children-s-books
1305,Diane  Adams,male,August 10 2009,1971,Congo,gay-and-lesbian$romance
1306,Henri Charrière,male,September 13 2016,1976,Cambodia,biographies-memoirs
1307,Archie Comics,male,October 7 2010,1973,Benin,comics-graphic-novels$humor
1308,Dorothy Dreyer,male,February 13 2010,1998,Chile,young-adult
1309,R.C. Stephens,female,September 20 2018,1995,Pakistan,romance
1310,Nicky Charles,female,October 9 2013,1989,Belarus,romance$paranormal
1311,Amy Poehler,female,July 3 2008,1997,Maldives,non-fiction$humor
1312,Mary Downing Hahn,female,January 6 2016,1972,Ivory Coast,children-s-books$young-adult
1313,Adriana Noir,female,September 23 2016,1958,Czech,dark-erotica
1314,Molly O'Keefe,female,September 6 2013,1992,Moldova,romance
1315,P. Craig Russell,male,November 26 2009,1996,Luxembourg,comics-graphic-novels$gay-lesbian
1316,Melissa Brayden,male,August 21 2013,1996,Bissau,romance
1317,David Estes,male,October 7 2018,1965,Colombia,science-fiction
1318,Lisa Schroeder,female,January 12 2013,1988,Nepal,young-adult$children-s-books
1319,Roxanne St. Claire,male,October 21 2008,1977,United States,romance
1320,Flora Rheta Schreiber,male,January 5 2007,1970,Wales,biographies-memoirs
1321,Hailey Abbott,female,March 16 2011,1958,Chad,young-adult$romance$contemporary
1322,Jessie G.,male,November 7 2011,1999,Albania,gay-and-lesbian
1323,Anna Akhmatova,female,April 13 2013,1987,Seychelles,poetry
1324,H. Beam Piper,male,November 2 2017,1950,Venezuela,science-fiction-fantasy$mystery-thrillers
1325,Viktor E. Frankl,male,June 4 2008,1987,East Timor,memoir$psychology
1326,Judy Blume,female,October 10 2014,1964,Panama,children-s-books
1327,Eric Clapton,male,December 27 2010,1968,Paraguay,biographies-memoirs$entertainment
1328,Jeanette Murray,female,August 11 2012,1982,USA,romance
1329,Caroline Kepnes,female,September 10 2013,1987,Ethiopia,thriller
1330,S.E. Jakes,female,August 25 2015,1986,Belize,romance
1331,D.K. Cassidy,female,May 27 2008,1976,Madagascar,fiction
1332,Jessica Warman,female,September 21 2015,1998,Greece,literature-fiction$young-adult
1333,Ellen Hopkins,female,October 16 2012,1982,Guatemala,literature-fiction$young-adult
1334,Zhuangzi,male,April 10 2017,1977,Belgium,philosophy
1335,Johnny Gruelle,male,September 20 2012,1964,Turkey,children-s-books
1336,Garth Nix,male,July 21 2014,1991,Kenya,science-fiction-fantasy
1337,Rumiko Takahashi,female,September 1 2009,1984,Taiwan,manga
1338,Doug Dillon,male,November 8 2016,1978,Peru,non-fiction
1339,Jerold J. Kreisman,male,December 15 2009,1969,Mexico,health-mind-body
1340,Mary Renault,female,January 12 2007,1991,Libya,literature-fiction$historical-fiction
1341,Nathan Burgoine,male,July 13 2007,1962,Bhutan,gay-lesbian
1342,Alan Lightman,male,March 15 2015,1976,Armenia,literature-fiction$science
1343,Sarah Beth Durst,female,May 9 2013,1958,Macedonia,fantasy
1344,Cathy Gohlke,female,October 26 2013,1952,Palau,historical-fiction
1345,Misty Paquette / Misty Provencher,female,January 27 2017,1973,Romania,paranormal-fantasy
1346,Karen   White,female,October 26 2011,1994,Great Britain,fiction
1347,Susanna Clarke,female,September 17 2013,1966,Wales,science-fiction-fantasy$alternate-history
1348,E.D. Walker,female,August 20 2013,1993,Malawi,romance
1349,Kristin Riddick,male,August 10 2018,1973,Kuwait,fiction
1350,Suzanne Enoch,female,April 18 2012,1953,Colombia,romance
1351,Sara Ryan,male,August 5 2011,1962,Tonga,young-adult
1352,M.E. Carter,male,May 26 2012,1983,Iraq,romance$sports
1353,Jenn Lyons,female,May 21 2015,1953,Estonia,fantasy
1354,Irving Stone,male,March 9 2009,1970,Chile,literature-fiction$arts-photography$history
1355,Sara Paretsky,female,January 1 2016,1958,Estonia,mystery-thrillers
1356,D.M. Wolfenden,male,November 28 2008,1996,Italy,horror$fiction
1357,Joanne Harris,female,May 15 2015,1984,Guatemala,literature-fiction
1358,Heather  Webb,female,July 19 2018,1966,Fiji,historical-fiction
1359,Elif Shafak,female,December 3 2014,1965,Netherlands,fiction
1360,Hazel Gaynor,female,May 15 2012,1987,Antigua,historical-fiction
1361,David Gemmell,male,August 26 2014,1975,Argentina,science-fiction-fantasy
1362,M-E Girard,male,May 14 2010,1989,Honduras,young-adult
1363,Angela Morrison,male,May 8 2014,1990,Italy,young-adult
1364,Deborah  Brown,female,May 1 2013,1989,British,mystery-thrillers
1365,D.D. Barant,male,March 8 2012,1974,Hungary,science-fiction-fantasy
1366,Yoshiki Nakamura,female,February 20 2016,1974,Ghana,comics-graphic-novels$romance$humor
1367,Amanda Palmer,female,December 8 2017,1973,Ghana,literature-fiction$arts-photography
1368,Rebecca Zanetti,male,January 22 2019,1969,Afghanistan,romance$paranormal
1369,Tracie Puckett,male,April 25 2014,1963,Sweden,young-adult
1370,Lisa Voisin,female,August 14 2013,1975,Rwanda,young-adult
1371,Ilona Andrews,male,March 28 2019,1955,America,science-fiction-fantasy
1372,Barry Lyga,male,April 3 2009,1959,Korea,literature-fiction$comics-graphic-novels
1373,Umberto Eco,male,November 18 2019,1962,Antigua,historical-fiction
1374,Audie Murphy,male,June 14 2007,1957,England,biography$poetry
1375,Cheryl Koevoet,male,January 6 2011,1960,Vatican,christian-fantasy
1376,Georgina Hannan,male,April 3 2010,1951,Zimbabwe,young-adult
1377,Jean de Brunhoff,male,April 4 2017,1960,Central African Republic,children-s-books$gentle-satire
1378,James Lee Burke,male,May 24 2017,1964,Uzbekistan,mystery-thrillers
1379,Ellen Datlow,female,July 2 2014,1970,South Sudan,science-fiction-fantasy
1380,John Milton,male,December 21 2011,1959,Sao Tome,poetry$politics
1381,Laura Esquivel,female,October 3 2019,1953,Burkina,fiction
1382,Arnold Bennett,male,March 11 2019,1998,Tajikistan,fiction
1383,Michel Faber,male,May 4 2008,1960,Monaco,literature-fiction$science-fiction
1384,Cindy Bauer,female,November 10 2010,1958,Luxembourg,mystery-thrillers$crime
1385,Jonathan  Miles,male,June 28 2008,1977,Albania,fiction
1386,Patrick O'Brian,male,January 8 2018,1960,Angola,literature-fiction$biographies-memoirs
1387,Juli Page Morgan,female,February 14 2015,1958,Cuba,romance
1388,Rachel  Morgan,female,September 22 2012,1983,Uganda,young-adult
1389,Jaycee DeLorenzo,female,March 8 2015,1953,El Salvador,romance
1390,Scott B. Smith,male,August 17 2015,1981,Laos,horror$mystery-thrillers$entertainment
1391,Katherine Applegate,female,October 3 2016,1989,Emirate,fiction
1392,Jack Hessey,male,February 28 2012,1999,Israel,science-fiction-fantasy
1393,Midge Raymond,female,December 23 2017,1950,Mauritania,literature-fiction
1394,Connie Willis,female,December 27 2014,1992,Cameroon,science-fiction$fantasy
1395,Kate Riordan,female,December 27 2012,1952,Bangladesh,fiction$mystery
1396,Lisa Jackson,male,December 3 2009,1987,Moldova,romance
1397,Peter V. Brett,male,November 10 2015,1971,Serbia,science-fiction-fantasy
1398,Nalini Singh,male,August 25 2019,1962,Croatia,paranormal-romance$science-fiction-fantasy
1399,Kaizen Elizabeth Love,female,July 19 2009,1955,Somalia,fiction
1400,Michelle  Adams,male,June 17 2014,1997,British,children-s-books$literature-fiction
1401,Irene Preston,female,September 8 2008,1954,Burkina,romance
1402,D.J. Molles,male,November 26 2019,1983,Mauritius,literature-fiction$horror$science-fiction
1403,Jonathan Maberry,male,October 7 2010,1966,Belarus,mystery-thrillers
1404,Nicole Hill,male,August 22 2008,1997,Zimbabwe,mystery-thrillers
1405,Jeff Sampson,male,March 19 2008,1982,Malawi,young-adult$science-fiction-fantasy
1406,Founding Fathers,male,January 6 2007,1984,Czech,non-fiction
1407,Len Deighton,male,March 26 2008,1981,Sudan,thriller$historical-fiction
1408,Joelle Charbonneau,male,March 8 2016,1996,Swaziland,mystery-thrillers
1409,Thomas Buergenthal,male,August 23 2018,1976,Laos,nonfiction$memoir$history
1410,Elizabeth   Hunter,female,March 22 2011,1958,Holland,science-fiction-fantasy
1411,Simone Pond,male,April 7 2018,1989,Croatia,science-fiction
1412,Spider Robinson,male,August 8 2010,1980,Andorra,science-fiction$fantasy
1413,Kimber S. Dawn,male,March 21 2013,1990,Israel,romance
1414,Rowan Speedwell,female,February 10 2007,1970,Comoros,romance$gay-lesbian
1415,Philip Pullman,male,August 17 2010,1965,Namibia,children-s-books
1416,Luis Carlos Montalván,male,July 13 2008,1975,Argentina,biographies-memoirs
1417,Miguel Syjuco,male,July 14 2018,1966,Australia,literature-fiction
1418,Victoria Thompson,female,November 8 2014,1977,Grenadines,historical-fiction
1419,Mitch Albom,male,October 2 2008,1987,Swaziland,biographies-memoirs
1420,Sara Shepard,female,August 22 2010,1984,Russia,young-adult
1421,Jessica Verday,male,January 26 2012,1989,Lesotho,children-s-books$young-adult
1422,Sherry Thomas,female,January 16 2007,1959,Italy,mystery
1423,Sharon Kay Penman,female,September 3 2012,1995,Sweden,literature-fiction
1424,Shawna Romkey,female,July 11 2013,1966,Peru,young-adult
1425,Shelly Laurenston,female,June 10 2008,1986,Tonga,romance$paranormal
1426,Malcolm Gladwell,male,June 6 2013,1984,Welsh,business$non-fiction
1427,Devon Hartford,male,March 16 2014,1962,Emirate,romance
1428,Robert W. Chambers,male,June 27 2009,1993,Kuwait,science-fiction-fantasy$horror$historical-fiction
1429,Heather Jensen,male,April 2 2013,1962,Kiribati,young-adult
1430,Rory Freedman,female,September 2 2013,1957,Laos,nonfiction
1431,George Carlin,male,May 24 2014,1979,Afghanistan,biographies-memoirs$nonfiction
1432,Hideaki Sorachi,male,December 24 2015,1994,Lesotho,comics-graphic-novels
1433,Trel W. Sidoruk,male,December 11 2013,1974,Cameroon,thriller$fantasy
1434,Barry Finlay,male,January 13 2013,1976,India,fiction
1435,Michael Ende,male,July 7 2008,1964,Senegal,children-s-books$literature-fiction
1436,Lynn Austin,female,August 13 2011,1980,Argentina,literature-fiction$religion-spirituality
1437,Christina Lauren,male,November 15 2013,1966,France,romance
1438,Christina Brooke,female,January 21 2015,1965,Bangladesh,romance
1439,Robin Schone,male,October 5 2014,1993,Paraguay,romance$historical-fiction
1440,Matt Ridley,male,July 20 2008,1955,St Kitts,science
1441,Donna Tartt,female,October 20 2016,1957,Slovenia,fiction$short-stories
1442,Leslye Walton,female,June 12 2019,1965,Iran,young-adult
1443,Kelly Thompson,female,January 7 2008,1997,Croatia,young-adult
1444,Kara Dalkey,female,March 5 2018,1988,United Kingdom,science-fiction-fantasy$young-adult
1445,Gil Adamson,female,August 16 2016,1996,Sierra Leone,literature-fiction$short-stories
1446,Simon W. Clark,male,July 15 2011,1999,Mali,thriller$horror
1447,Richard Siken,male,March 8 2017,1967,Czech,poetry
1448,Kristen Simmons,female,May 3 2018,1951,Croatia,young-adult
1449,Keri Smith,female,July 8 2017,1965,Tajikistan,arts-photography$crafts-hobbies
1450,Alaa Al Aswany,male,February 1 2008,1965,Marshall,literature-fiction
1451,V.L. Jennings,female,September 16 2007,1999,Togo,science-fiction
1452,Chris   Rose,female,May 11 2011,1977,New Zealand,fiction
1453,Emily Snow,female,November 23 2017,1997,Oman,romance
1454,Helen Boswell,female,September 3 2019,1955,Ethiopia,paranormal
1455,Steven Galloway,male,February 3 2018,1980,Madagascar,literature-fiction
1456,Gena Showalter,female,December 24 2012,1994,Swaziland,romance$young-adult
1457,Sandhya Menon,male,August 3 2014,1952,Zimbabwe,young-adult
1458,Danielle Trussoni,female,April 17 2019,1955,Turkey,literature-fiction
1459,Lisa Jervis,male,March 5 2019,1963,USA,nonfiction$cooking-food-wine
1460,Russel Lazega,male,October 24 2017,1977,Grenadines,memoir
1461,Diane Ackerman,female,September 7 2013,1974,East Timor,literature-nonfiction
1462,Bec McMaster,female,October 7 2009,1970,Zambia,romance
1463,Normandie Alleman,female,October 28 2012,1992,Germany,romance
1464,Jodie Lynn Zdrok,female,February 11 2018,1955,Romania,young-adult
1465,Eugene O'Neill,male,October 7 2011,1990,Mozambique,theater
1466,Friedrich Nietzsche,male,August 8 2011,1994,Brazil,philosophy$social-sciences
1467,Rachel Vail,male,September 18 2018,1959,Russia,young-adult
1468,Michelle Madow,female,October 25 2015,1988,Turkey,fantasy
1469,Claire Contreras,female,June 18 2013,1997,Egypt,romance
1470,David Sosnowski,male,March 21 2011,1954,Niger,literature-fiction
1471,Dan Rabarts,male,October 15 2014,1950,Eritrea,fantasy$science-fiction
1472,Cayla Kluver,female,May 19 2014,1987,Lesotho,young-adult
1473,Jay Bell,male,July 22 2012,1966,Turkmenistan,science-fiction-fantasy
1474,Wendelin Van Draanen,female,December 6 2012,1967,Bahamas,young-adult
1475,Mark Tufo,male,November 28 2016,1984,Wales,horror
1476,Lisa Kleypas,female,September 10 2012,1989,Solomon,romance$literature-fiction
1477,Peter Mayle,male,April 15 2010,1984,Malaysia,travel$nonfiction
1478,C.B. Conwy,male,June 9 2010,1968,Great Britain,gay-lesbian$romance
1479,Joseph Moldover,male,January 12 2010,1984,Brunei,young-adult
1480,Tracey Garvis Graves,female,August 1 2017,1984,Bulgaria,romance
1481,Annie Sullivan,male,October 20 2013,1984,Albania,young-adult$fantasy
1482,Rosary  McQuestion,female,June 6 2014,1974,Morocco,romance
1483,Peter   John,female,May 18 2018,1969,Bolivia,paranormal
1484,Douglas Coupland,male,July 6 2010,1972,Uzbekistan,literature-fiction
1485,Jamie Eubanks,male,June 6 2015,1971,Sao Tome,suspense
1486,Jeph Loeb,male,August 14 2007,1956,Welsh,comics-graphic-novels
1487,Brooklyn Skye,female,February 3 2014,1957,East Timor,contemporary
1488,Sophocles,male,October 10 2015,1979,Burkina,theatre$poetry
1489,Jun'ichirō Tanizaki,male,July 23 2015,1979,Croatia,literature-fiction$non-fiction
1490,Jeff Wheeler,male,March 9 2012,1969,Nepal,science-fiction-fantasy
1491,Mark   Tompkins,male,October 26 2009,1989,South Sudan,historical-fiction
1492,Elle Casey,female,August 26 2014,1980,Sao Tome,fantasy
1493,Rick Yancey,male,October 25 2019,1966,Serbia,mystery-thrillers
1494,Jennifer Gilmore,female,September 25 2018,1969,New Zealand,literature-fiction
1495,Dave Gibbons,male,January 9 2013,1954,Kuwait,comics-graphic-novels
1496,Stacey R. Campbell,female,January 1 2008,1972,Maldives,young-adult
1497,Marcus Alexander,male,June 8 2013,1985,Brunei,fantasy$children-s
1498,Megan O'Brien,female,January 21 2012,1986,Iraq,romance
1499,Brandy Purdy,male,November 22 2016,1968,Iceland,historical-fiction
1500,Hermann Hesse,male,February 14 2013,1956,Serbia,fiction$poetry
1501,Sara  King,male,June 1 2011,1970,Russia,science-fiction-fantasy$romance
1502,Elle Jasper,female,March 5 2008,1989,Djibouti,science-fiction-fantasy
1503,Kieran Scott,female,May 9 2013,1960,Indonesia,young-adult
1504,Jill Hathaway,female,February 4 2011,1958,Sierra Leone,young-adult
1505,Omar Barghouti,male,October 20 2012,1986,Zambia,nonfiction
1506,Paula Brackston,female,March 16 2018,1972,Sri Lanka,historical-fiction$fantasy
1507,A. Lynden Rolland,female,February 12 2010,1973,Uzbekistan,young-adult
1508,P.J. Fiala,male,May 22 2011,1991,Latvia,romance
1509,Riko Miyagi,male,September 14 2007,1990,Lithuania,romance$comics-graphic-novels$humor
1510,Robin McKinley,female,July 1 2019,1998,Liechtenstein,science-fiction-fantasy
1511,Lucian Bane,male,March 8 2010,1950,Turkey,romance
1512,John Van Stry,male,February 9 2010,1951,Myanmar,science-fiction-fantasy$urban-fantasy
1513,Annie Proulx,female,May 20 2009,1956,East Timor,literature-fiction$short-stories$cooking-food-wine
1514,Amanda Bonilla,female,April 3 2009,1960,Burundi,science-fiction-fantasy
1515,Amanda Quick,female,August 23 2007,1980,Bhutan,romance
1516,Erika Kelly,female,March 6 2015,1954,Sao Tome,romance
1517,Paige Weaver,female,July 22 2014,1993,Nicaragua,romance
1518,Brian Selznick,male,November 23 2017,1994,Barbados,children-s-books$arts-photography
1519,Belinda Boring,female,April 19 2018,1986,Switzerland,romance
1520,Diane Magras,female,March 15 2019,1984,Malta,children-s
1521,Anita Amirrezvani,male,November 5 2007,1996,Guyana,literature-fiction
1522,Leigh Michaels,female,May 9 2016,1983,Peru,romance$history
1523,Lili St. Crow,female,March 10 2015,1960,Switzerland,science-fiction-fantasy
1524,Chancery Stone,female,June 27 2008,1957,Nigeria,literature-fiction$mystery-thrillers
1525,Christina Boyd,female,August 14 2011,1993,Taiwan,historical-fiction$romance
1526,Karina Yan Glaser,female,April 14 2015,1967,Tobago,children-s
1527,Kaylea Cross,female,September 13 2013,1962,Myanmar,romance
1528,Fyodor Dostoyevsky,male,November 7 2016,1969,Kazakhstan,fiction$psychology
1529,Bảo Ninh,male,October 22 2019,1985,Argentina,fiction
1530,Louisa May Alcott,female,May 19 2016,1965,Honduras,literature-fiction$historical-fiction
1531,Sam Crescent,female,November 3 2010,1969,Panama,romance
1532,Sean Kennedy,male,April 15 2015,1954,Macedonia,gay-lesbian
